player,position,league,squad,age
Patrick van Aanholt,DF,Premier League,Crystal Palace,30
Tammy Abraham,FW,Premier League,Chelsea,23
Che Adams,FW,Premier League,Southampton,24
Tosin Adarabioyo,DF,Premier League,Fulham,23
Adrián,GK,Premier League,Liverpool,34
Sergio Agüero,FW,Premier League,Manchester City,32
Ola Aina,DF,Premier League,Fulham,24
Rayan Aït Nouri,DF,Premier League,Wolves,19
Semi Ajayi,DF,Premier League,West Brom,27
Nathan Aké,DF,Premier League,Manchester City,26
Marc Albrighton,FW,Premier League,Leicester City,31
Thiago Alcántara,MF,Premier League,Liverpool,29
Toby Alderweireld,DF,Premier League,Tottenham,32
Rúnar Alex Rúnarsson,GK,Premier League,Arsenal,26
Trent Alexander-Arnold,DF,Premier League,Liverpool,22
Ezgjan Alioski,DF,Premier League,Leeds United,29
Alisson,GK,Premier League,Liverpool,28
Allan,MF,Premier League,Everton,30
Dele Alli,MF,Premier League,Tottenham,24
Miguel Almirón,MF,Premier League,Newcastle Utd,27
Marcos Alonso,DF,Premier League,Chelsea,30
Steven Alzate,MF,Premier League,Brighton,22
Daniel Amartey,DF,Premier League,Leicester City,26
Ethan Ampadu,DF,Premier League,Sheffield Utd,20
Joachim Andersen,DF,Premier League,Fulham,24
Elliot Anderson,MF,Premier League,Newcastle Utd,18
Felipe Anderson,FW,Premier League,West Ham,27
Michail Antonio,FW,Premier League,West Ham,30
Alphonse Areola,GK,Premier League,Fulham,28
Stuart Armstrong,MF,Premier League,Southampton,28
Kepa Arrizabalaga,GK,Premier League,Chelsea,26
Pierre-Emerick Aubameyang,FW,Premier League,Arsenal,31
Serge Aurier,DF,Premier League,Tottenham,28
Charlie Austin,FW,Premier League,West Brom,31
Jordan Ayew,FW,Premier League,Crystal Palace,29
Luke Ayling,DF,Premier League,Leeds United,29
César Azpilicueta,DF,Premier League,Chelsea,31
Eric Bailly,DF,Premier League,Manchester Utd,26
Fabián Balbuena,DF,Premier League,West Ham,29
George Baldock,DF,Premier League,Sheffield Utd,27
Gareth Bale,FW,Premier League,Tottenham,31
Patrick Bamford,FW,Premier League,Leeds United,27
Phil Bardsley,DF,Premier League,Burnley,35
Ross Barkley,MF,Premier League,Chelsea,27
Ross Barkley,MF,Premier League,Aston Villa,27
Ashley Barnes,FW,Premier League,Burnley,31
Harvey Barnes,FW,Premier League,Leicester City,23
Kyle Bartley,DF,Premier League,West Brom,29
Chris Basham,DF,Premier League,Sheffield Utd,32
Michy Batshuayi,FW,Premier League,Crystal Palace,27
Jan Bednarek,DF,Premier League,Southampton,24
Donny van de Beek,MF,Premier League,Manchester Utd,23
Héctor Bellerín,DF,Premier League,Arsenal,25
Saïd Benrahma,MF,Premier League,West Ham,25
Josh Benson,MF,Premier League,Burnley,21
Christian Benteke,FW,Premier League,Crystal Palace,30
Jóhann Berg Guðmundsson,MF,Premier League,Burnley,30
Sander Berge,MF,Premier League,Sheffield Utd,23
Steven Bergwijn,FW,Premier League,Tottenham,23
Bernard,FW,Premier League,Everton,28
Bernardo,DF,Premier League,Brighton,25
Ryan Bertrand,DF,Premier League,Southampton,31
Yves Bissouma,MF,Premier League,Brighton,24
Jayden Bogle,DF,Premier League,Sheffield Utd,20
Willy Boly,DF,Premier League,Wolves,30
Jarrod Bowen,FW,Premier League,West Ham,24
Robbie Brady,MF,Premier League,Burnley,29
Rhian Brewster,FW,Premier League,Sheffield Utd,20
Josh Brownhill,MF,Premier League,Burnley,25
Joe Bryan,DF,Premier League,Fulham,27
Kean Bryan,DF,Premier League,Sheffield Utd,24
Oliver Burke,FW,Premier League,Sheffield Utd,23
