team,year,country,pts,value
FC Barcelona,18/19,La Liga,87,1180
Atletico Madrid,18/19,La Liga,76,965.3
Real Madrid,18/19,La Liga,68,955
Valencia CF,18/19,La Liga,61,353
Sevilla FC,18/19,La Liga,59,286
Getafe CF,18/19,La Liga,59,243
RCD Espanyol,18/19,La Liga,53,231.7
Athletic Bilbao,18/19,La Liga,53,219.7
Real Sociedad,18/19,La Liga,50,193.9
Real Betis,18/19,La Liga,50,192.75
Deportivo Alavés,18/19,La Liga,50,124.3
SD Eibar,18/19,La Liga,47,107.2
CD Leganés,18/19,La Liga,45,98.05
Villarreal CF,18/19,La Liga,44,94.5
Levante UD,18/19,La Liga,44,90
Celta de Vigo,18/19,La Liga,41,87.7
Real Valladolid CF,18/19,La Liga,41,83.8
Girona FC,18/19,La Liga,37,71.3
SD Huesca,18/19,La Liga,33,63.8
Rayo Vallecano,18/19,La Liga,32,46.8
Manchester City,18/19,Premier League,98,1140
Liverpool FC,18/19,Premier League,97,974.25
Chelsea FC,18/19,Premier League,72,976.75
Tottenham Hotspur,18/19,Premier League,71,840
Arsenal FC,18/19,Premier League,70,643
Manchester United,18/19,Premier League,66,812.5
Wolverhampton Wanderers,18/19,Premier League,57,250.5
Everton FC,18/19,Premier League,54,421.75
Leicester City,18/19,Premier League,52,347.75
West Ham United,18/19,Premier League,52,336
Watford FC,18/19,Premier League,50,183.4
Crystal Palace,18/19,Premier League,49,236.2
Newcastle United,18/19,Premier League,45,199
AFC Bournemouth,18/19,Premier League,45,258.3
Burnley FC,18/19,Premier League,40,177.25
Southampton FC,18/19,Premier League,39,230.1
Brighton & Hove Albion,18/19,Premier League,36,177.2
Cardiff City,18/19,Premier League,34,97.15
Fulham FC,18/19,Premier League,26,237
Huddersfield Town,18/19,Premier League,16,125.95
Bayern Munchen,18/19,Bundesliga,78,844.65
Borussia Dortmund,18/19,Bundesliga,76,378.25
RasenBallsport Leipzig,18/19,Bundesliga,66,298.65
Bayer Leverkusen,18/19,Bundesliga,58,364.7
Bor. Monchengladbach,18/19,Bundesliga,55,197.53
VfL Wolfsburg,18/19,Bundesliga,55,140.3
Eintracht Frankfurt,18/19,Bundesliga,54,126.75
Werder Bremen,18/19,Bundesliga,53,111.4
1899 Hoffenheim,18/19,Bundesliga,51,200.8
Fortuna Düsseldorf,18/19,Bundesliga,44,35.5
