round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
1,1819,2018-08-24,1,Bayern Munich,2.8,3,1,0.9,Hoffenheim,75000,Allianz Arena,Bastian Dankert
1,1819,2018-08-25,1,Wolfsburg,1.3,2,1,1.4,Schalke 04,26621,Volkswagen Arena,Patrick Ittrich
1,1819,2018-08-25,1,Hertha BSC,1.4,1,0,1.3,Nürnberg,52729,Olympiastadion Berlin,Tobias Welz
1,1819,2018-08-25,1,Werder Bremen,1.8,1,1,1,Hannover 96,42100,Weserstadion,Felix Brych
1,1819,2018-08-25,1,Freiburg,2,0,2,0.9,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe
1,1819,2018-08-25,1,Düsseldorf,1.3,1,2,1.3,Augsburg,40996,Merkur Spielarena,Markus Schmidt
1,1819,2018-08-25,1,M'Gladbach,4.1,2,0,1.4,Leverkusen,53087,Stadion im Borussia-Park,Christian Dingert
1,1819,2018-08-26,1,Mainz 05,1.1,1,0,1,Stuttgart,28705,Opel Arena,Daniel Siebert
1,1819,2018-08-26,1,Dortmund,1,4,1,1.6,RB Leipzig,80365,Signal Iduna Park,Deniz Aytekin
2,1819,2018-08-31,1,Hannover 96,0.8,0,0,0.7,Dortmund,49000,HDI-Arena,Felix Zwayer
2,1819,2018-09-01,1,Leverkusen,1.5,1,3,1.2,Wolfsburg,26247,BayArena,Sven Jablonski
2,1819,2018-09-01,1,Augsburg,1.1,1,1,1.1,M'Gladbach,29580,WWK Arena,Frank Willenborg
2,1819,2018-09-01,1,Eint Frankfurt,1.2,1,2,1.7,Werder Bremen,50000,Commerzbank-Arena,Sören Storks
2,1819,2018-09-01,1,Hoffenheim,3.5,3,1,2.7,Freiburg,28619,PreZero Arena,Robert Hartmann
2,1819,2018-09-01,1,Nürnberg,1.2,1,1,0.4,Mainz 05,37781,Max-Morlock-Stadion,Guido Winkmann
2,1819,2018-09-01,1,Stuttgart,0.2,0,3,1.8,Bayern Munich,58680,Mercedes-Benz Arena,Harm Osmers
2,1819,2018-09-02,1,RB Leipzig,1.8,1,1,1.2,Düsseldorf,34975,Red Bull Arena,Marco Fritz
2,1819,2018-09-02,1,Schalke 04,1.8,0,2,0.6,Hertha BSC,60181,Veltins-Arena,Sascha Stegemann
3,1819,2018-09-14,1,Dortmund,0.9,3,1,0.3,Eint Frankfurt,81000,Signal Iduna Park,Benjamin Cortus
3,1819,2018-09-15,1,Bayern Munich,1.3,3,1,0.8,Leverkusen,75000,Allianz Arena,Tobias Welz
3,1819,2018-09-15,1,Mainz 05,2.8,2,1,0.7,Augsburg,21105,Opel Arena,Martin Petersen
3,1819,2018-09-15,1,Düsseldorf,1.5,2,1,2.3,Hoffenheim,40111,Merkur Spielarena,Tobias Stieler
3,1819,2018-09-15,1,RB Leipzig,2.3,3,2,1.2,Hannover 96,38937,Red Bull Arena,Robert Kampka
3,1819,2018-09-15,1,Wolfsburg,2,2,2,0.8,Hertha BSC,25090,Volkswagen Arena,Christian Dingert
3,1819,2018-09-15,1,M'Gladbach,1.3,2,1,1.6,Schalke 04,54022,Stadion im Borussia-Park,Manuel Gräfe
3,1819,2018-09-16,1,Werder Bremen,0.7,1,1,1,Nürnberg,42100,Weserstadion,Daniel Schlager
