season,full_name,surname,team,league,mins,90s,goals_against,goals_pens,goals_fk,goals_ck,own_goals,sota,psxg,psxg_sot,psxg_plus_minus,psxg90,launched,launch_att,launch%,pass_att,pass_thrown,pass_launch%,pass_avg_len,gk_att,gk_launch%,gk_avg_len,crosses_faced,crosses_stopped,stopped%,opa,opa90,opa_avg_dist,touches,passes_completed,passes_attempted,pass_completion,progressive_distance,progressive_passes
2021,Aaron Ramsdale,Ramsdale,Sheffield Utd,Premier League,2070,23,37,1,0,7,0,111,34.8,0.31,-2.2,-0.1,178,532,33.5,503,62,75.3,54.9,160,95.6,71.5,210,21,10,14,0.61,15.3,742,301,663,45.4,11356,0
2021,Adrián,Adrián,Liverpool,Premier League,180,2,9,0,0,2,0,16,7.1,0.45,-1.9,-0.93,9,25,36,48,14,37.5,36,14,50,38.7,18,2,11.1,0,0,12.3,69,43,62,69.4,723,0
2021,Aitor Fernández,Fernández,Levante,La Liga,1710,19,28,2,1,4,0,76,25.8,0.32,-2.2,-0.12,90,233,38.6,472,100,40.9,37.5,140,28.6,30.5,176,11,6.3,17,0.89,15.2,657,456,612,74.5,7423,0
2021,Alban Lafont,Lafont,Nantes,Ligue 1,2160,24,39,7,1,6,1,106,37.3,0.3,-0.7,-0.03,132,387,34.1,573,100,45.2,40.3,174,73.6,53.7,212,16,7.5,16,0.67,14.4,826,481,747,64.4,10506,0
2021,Alberto Cifuentes,Cifuentes,Cádiz,La Liga,180,2,3,0,0,0,0,6,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1,14.3,73,31,69,44.9,1368,0
2021,Alberto Paleari,Paleari,Genoa,Serie A,116,1.3,3,0,0,0,0,8,2.6,0.36,-0.4,-0.3,7,25,28,34,5,64.7,45.3,10,30,30.6,8,0,0,0,0,11.7,46,26,44,59.1,564,0
2021,Alessio Cragno,Cragno,Cagliari,Serie A,1890,21,39,4,1,5,0,123,42,0.32,3,0.14,119,251,47.4,419,91,40.1,34.2,175,47.4,36.8,201,16,8,12,0.57,13.4,662,447,594,75.3,8206,0
2021,Alex Cordaz,Cordaz,Crotone,Serie A,1890,21,50,3,1,5,1,117,43.4,0.35,-5.6,-0.27,113,270,41.9,689,104,34.1,31.6,159,22,24.8,170,9,5.3,22,1.05,16,895,662,848,78.1,9684,1
2021,Alex McCarthy,McCarthy,Southampton,Premier League,1890,21,37,3,0,2,1,92,31.7,0.32,-4.3,-0.2,100,365,27.4,647,83,45.4,36.9,106,67,49.1,170,14,8.2,17,0.81,15.9,805,478,753,63.5,7865,0
2021,Alex Meret,Meret,Napoli,Serie A,720,8,10,0,0,1,0,32,9.7,0.31,-0.3,-0.03,18,33,54.5,200,42,13.5,24.9,35,17.1,23.1,45,6,13.3,2,0.25,11.7,251,213,235,90.6,2544,0
2021,Álex Remiro,Remiro,Real Sociedad,La Liga,1980,22,20,2,0,1,0,54,17.1,0.27,-2.9,-0.13,131,292,44.9,558,74,40.9,37.2,111,57.7,47.9,157,13,8.3,14,0.64,15.4,708,499,669,74.6,9490,1
