player,last_name,team,league,nineties,sca,sca_live,sca_dead,sca_dribble,sca_shot,sca_fouled,sca_defense,gca,gca_live,gca_dead,gca_dribble,gca_shot,gca_fouled,gca_defense,gca_og,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,successful_dribbles,dribbles_attempted,dribble%,dribbled_past,nutmegs,carries,distance_carried,progressive_distance_carried,progressive_carries,carries_final_third,carries_pen_area,passes_completed,passes_attempted,pass%,progressive_pass_distance,assists,xa,key_passes,passes_final_third,passes_pen_area,crosses_pen_area,progressive_passes
Aaron Connolly,Connolly  ,Brighton,Premier League,6.5,1.39,0.77,0,0.31,0,0.31,0,0.15,0.15,0,0,0,0,0,0,21.8,0,0.92,8.92,13.1,4.31,0.92,1.38,66.7,0.92,0.15,13.4,63.5,35.2,1.38,0.62,0.31,8.77,11.2,78.1,20.9,0.15,0.03,0.62,0.31,0.15,0,0.46
Aaron Cresswell,Cresswell  ,West Ham,Premier League,17,2.41,1.12,1.12,0,0.12,0.06,0,0.35,0.12,0.12,0,0.06,0.06,0,0,65.6,5,22.3,30.9,15.4,0.41,0.12,0.53,22.2,0.24,0.12,35.5,153.9,75.1,2.82,1.24,0.12,43.6,58.3,74.9,442.8,0.24,0.14,1.59,4.12,0.71,0.47,3.53
Aaron Hickey,Hickey  ,Bologna,Serie A,8.1,0.86,0.74,0.12,0,0,0,0,0.12,0.12,0,0,0,0,0,0,61.4,3.58,19.3,30.2,16.9,1.23,0.99,1.85,53.3,1.23,0,39.4,237.7,116.9,4.2,2.22,0.25,41.1,49.1,83.7,236.7,0,0.04,0.49,2.96,0.49,0.12,2.72
Aaron Leya Iseka,Leya Iseka ,Metz,Ligue 1,4.4,1.58,1.14,0,0.23,0,0.23,0,0,0,0,0,0,0,0,0,25,0.91,2.5,13.9,10.2,3.18,0.91,1.36,66.7,1.14,0,17.3,78.6,39.5,2.5,0.91,0.68,12.7,15.7,81.2,27,0,0.07,0.91,0.68,0.23,0,0.45
Aarón Martín,Martín  ,Mainz 05,Bundesliga,2.9,1.72,1.03,0.69,0,0,0,0,0,0,0,0,0,0,0,0,63.4,2.07,14.8,30.7,20.3,0.34,1.72,2.41,71.4,1.72,0,40.3,160.3,69,2.76,0.34,0,42.1,58.3,72.2,310,0,0.14,1.72,3.1,1.38,1.38,2.07
Aaron Ramsey,Ramsey  ,Juventus,Serie A,7.4,5.25,4.19,0.54,0.14,0,0.27,0.14,0.54,0.41,0,0,0,0,0.14,0,76.2,0.95,10.8,37.7,31.9,6.62,0.81,1.22,66.7,0.81,0,51.8,246.8,100.7,5.41,1.76,0.54,54.9,65,84.4,243.2,0.41,0.34,2.57,5.27,1.62,0.27,5.68
Aaron Wan-Bissaka,Wan-Bissaka  ,Manchester Utd,Premier League,14,1.36,1.14,0.07,0,0.07,0,0.07,0.29,0.29,0,0,0,0,0,0,67.4,3.36,24.7,30.4,16.4,0.86,1.07,1.5,71.4,1.07,0,39.3,192.4,106,4.79,1.93,0,45.4,53.6,84.6,251.4,0.07,0.03,0.43,2.07,0.5,0.21,3.57
Abdallahi Mahmoud,Mahmoud  ,Alavés,La Liga,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,16,0,0,0,0,,0,0,8,22,10,2,0,0,6,12,50,30,0,0,0,2,0,0,0
Abdou Diallo,Diallo  ,Paris S-G,Ligue 1,8.4,0.36,0.24,0,0,0,0,0.12,0,0,0,0,0,0,0,0,83,11.8,42.9,44.3,1.19,0.36,0.48,0.6,80,0.48,0,61.3,329.6,195.4,4.88,0.6,0,69.9,74.4,93.9,504.3,0,0,0,4.88,0,0,4.05
Abdoul Kader Bamba,Bamba ,Nantes,Ligue 1,8.2,3.79,2.68,0.37,0.24,0,0.37,0.12,0.24,0.24,0,0,0,0,0,0,58.7,0.49,6.83,28.7,27.1,3.29,2.68,4.02,66.7,2.68,0.12,44.4,207.2,123.8,6.46,1.46,1.34,34.6,46.8,74,149.9,0.12,0.15,1.95,2.32,1.22,0.24,3.17
