Game,Competition,Date,matchday,Writer,Gregor Kobel,Alexander Meyer,Soumaila Coulibaly,Mats Hummels,Nico Schlotterbeck,Niklas Sule,Julian Ryerson,Tom Rothe,Felix Passlack,Thomas Meunier,Rapha Guerreiro,Marius Wolf,Salih Ozcan,Emre Can,Mahmoud Dahoud,Jude Bellingham,Julian Brandt,Gio Reyna,Marco Reus,Thorgan Hazard,Jamie Bynoe-Gittens,Justin Njinmah,Julien Duranville,Karim Adeyemi,Donyell Malen,Youssoufa Moukoko,Sebastien Haller,Anthony Modeste,Overall
1860 Munich,DFB-Pokal,2022-07-29T00:00:00Z,1,Yash,6,NA,NA,6.5,8,6.5,NA,NA,NA,6,8,NA,NA,NA,8,8,NA,NA,8,NA,5,NA,NA,6.5,8.75,5,NA,NA,8.5
1860 Munich,DFB-Pokal,2022-07-29T00:00:00Z,1,Paddy,6,NA,NA,6,8,7,NA,NA,NA,6,8,5,NA,NA,7,8,NA,NA,8,5,5,NA,NA,7,9,4,NA,NA,9
Bayer Leverkusen,Bundesliga,2022-08-06T00:00:00Z,2,Anders,7,NA,NA,6,8,NA,NA,NA,NA,7,5,NA,NA,NA,7,7,5,NA,6,6,NA,NA,NA,7,4,5,NA,NA,6
Bayer Leverkusen,Bundesliga,2022-08-06T00:00:00Z,2,Paddy,8,NA,NA,6,8,NA,NA,NA,NA,7,6,NA,NA,NA,7,7,5,NA,7,6,NA,NA,NA,7,3,6,NA,NA,7
Bayer Leverkusen,Bundesliga,2022-08-06T00:00:00Z,2,Paul,8,NA,NA,5,8,NA,NA,NA,NA,7,5,NA,NA,NA,7,7,5,NA,6,6,NA,NA,NA,6,4,5,NA,NA,6
SC Freiburg,Bundesliga,2022-08-12T00:00:00Z,3,Anders,6,NA,NA,5,6,NA,NA,NA,NA,5,5,7,NA,NA,6,6,6,NA,5,3,6,NA,NA,NA,3,7,NA,4,6
SC Freiburg,Bundesliga,2022-08-12T00:00:00Z,3,Yash,6.5,NA,NA,5.5,7,NA,NA,NA,NA,6,5.5,8,NA,NA,7,5,7.25,NA,6.75,3,6.5,NA,NA,NA,3,8.5,NA,4,5
SC Freiburg,Bundesliga,2022-08-12T00:00:00Z,3,Paul,6,NA,NA,5,6,NA,NA,NA,NA,5,5,7,NA,NA,5,5,6,NA,6,3,7,NA,NA,NA,3,7,NA,5,6
Werder Bremen,Bundesliga,2022-08-20T00:00:00Z,4,Sarah,7,NA,NA,5,6.5,NA,NA,NA,NA,NA,6,3,NA,NA,NA,5,4.5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,4,4.5
Werder Bremen,Bundesliga,2022-08-20T00:00:00Z,4,Yash,5,NA,NA,6,6.5,NA,NA,NA,NA,NA,5.5,6.5,NA,1.5,NA,6,5,NA,6,6,1.5,NA,NA,NA,NA,NA,NA,3,2.5
Werder Bremen,Bundesliga,2022-08-20T00:00:00Z,4,Oliver,6,NA,NA,5,7,NA,NA,NA,NA,NA,5,4,NA,1,NA,6,4,NA,6,NA,3,NA,NA,NA,NA,NA,NA,1,3
Hertha Berlin,Bundesliga,2022-08-27T00:00:00Z,5,Yash,8.5,NA,NA,6,7.5,NA,NA,NA,NA,NA,6.5,6.5,8,NA,NA,7.5,7,NA,7.5,NA,5.5,NA,NA,5,NA,NA,NA,7.5,6.5
Hertha Berlin,Bundesliga,2022-08-27T00:00:00Z,5,Paddy,8,NA,NA,5.5,8,NA,NA,NA,NA,NA,7,6,9,NA,NA,8,5,NA,8,NA,5,NA,NA,6,NA,NA,NA,7,6
Hertha Berlin,Bundesliga,2022-08-27T00:00:00Z,5,Zac,8.5,NA,NA,6,7.5,NA,NA,NA,NA,NA,5,6,8,NA,NA,6,6,NA,7,NA,6.5,NA,NA,5.5,NA,NA,NA,8,6.5
Hoffenheim,Bundesliga,2022-09-02T00:00:00Z,6,Anders,6,NA,NA,7,8,NA,NA,NA,NA,6,NA,7,7,NA,NA,7.5,7,NA,7,6,5,NA,NA,NA,NA,NA,NA,6,8
Hoffenheim,Bundesliga,2022-09-02T00:00:00Z,6,Yash,6.5,NA,NA,7.5,7,NA,NA,NA,NA,6,NA,8,7.5,NA,NA,7,8,NA,7.5,6,4.5,NA,NA,NA,NA,NA,NA,7,8
Hoffenheim,Bundesliga,2022-09-02T00:00:00Z,6,Paul,5,NA,NA,7,8,NA,NA,NA,NA,5,NA,7,7,NA,NA,7,8,NA,7,6,5,NA,NA,NA,NA,NA,NA,6,7
FC Copenhagen,Champions League,2022-09-06T00:00:00Z,7,Joey,NA,7,NA,NA,7.5,8,NA,NA,NA,6,7,NA,7,6.5,NA,8.5,7.5,8.5,8,5,NA,NA,NA,NA,NA,6,NA,6,8
FC Copenhagen,Champions League,2022-09-06T00:00:00Z,7,Anders,NA,6,NA,NA,7.5,8,NA,NA,NA,5,7.5,NA,7,6,NA,8.5,8,8,8,4,NA,NA,NA,NA,NA,5,NA,5,8.5
RB Leipzig,Bundesliga,2022-09-10T00:00:00Z,8,Yash,NA,5,NA,NA,3,3,NA,NA,NA,5,3,5.5,3,NA,NA,6,3,5.5,3.5,NA,NA,NA,NA,NA,NA,5.5,NA,3,2
RB Leipzig,Bundesliga,2022-09-10T00:00:00Z,8,Paul,NA,4,NA,NA,3,4,NA,NA,NA,5,3,5,4,NA,NA,5,3,6,4,NA,NA,5,NA,NA,NA,5,NA,4,3
RB Leipzig,Bundesliga,2022-09-10T00:00:00Z,8,Paddy,NA,4,NA,NA,3,5,NA,NA,NA,5,2,4,4,NA,NA,6,3,6,3,NA,NA,4,NA,NA,NA,5,NA,4,2
Manchester City,Champions League,2022-09-14T00:00:00Z,9,Paul,NA,4,NA,9,5,8,NA,NA,NA,6,6,NA,9,7,NA,8,NA,6,8,NA,NA,NA,NA,NA,6,NA,NA,6,8
Manchester City,Champions League,2022-09-14T00:00:00Z,9,Anders,NA,6,NA,8.5,5,8,NA,NA,NA,6,6.5,NA,8,7,NA,8.5,NA,6.5,7.5,NA,NA,NA,NA,NA,6.5,NA,NA,6.5,8
Manchester City,Champions League,2022-09-14T00:00:00Z,9,Joey,NA,6.5,NA,8.5,4.5,8,NA,NA,NA,6,6.5,NA,8,7,NA,7.5,NA,6.5,7.5,NA,NA,NA,NA,NA,7,NA,NA,7,7
Schalke,Bundesliga,2022-09-17T00:00:00Z,10,Yash,NA,6,NA,8.5,7.5,NA,NA,NA,NA,7,NA,8,8,NA,NA,8,7,6,NA,NA,NA,NA,NA,7,7,8.5,NA,5,8
Schalke,Bundesliga,2022-09-17T00:00:00Z,10,Anders,NA,6,NA,8,7.5,NA,NA,NA,NA,6,NA,7,8,NA,NA,8,6,6,NA,NA,NA,NA,NA,6.5,7,9,NA,5,7.5
Schalke,Bundesliga,2022-09-17T00:00:00Z,10,Joey,NA,7,NA,8,7,NA,NA,NA,NA,6.5,NA,8,8.5,NA,NA,8,7,6.5,NA,NA,NA,NA,NA,7,7,9,NA,4.5,8
FC Koln,Bundesliga,2022-10-01T00:00:00Z,11,Darshan,NA,6,NA,NA,4,4,NA,NA,NA,4.5,5.5,NA,6,NA,NA,6.5,7,NA,NA,4,NA,NA,NA,5,3.5,5,NA,3,5
FC Koln,Bundesliga,2022-10-01T00:00:00Z,11,Yash,NA,6,NA,NA,3.5,3.5,NA,NA,NA,5.5,6,NA,6,NA,NA,6.5,7,NA,NA,4.5,NA,NA,NA,4.5,3,5.5,NA,3,5.5
FC Koln,Bundesliga,2022-10-01T00:00:00Z,11,Anders,NA,5,NA,NA,4,4.5,NA,NA,NA,5,5,NA,6,NA,NA,6.5,7,NA,NA,4,NA,NA,NA,5,3,5,NA,4,5
Sevilla,Champions League,2022-10-05T00:00:00Z,12,Sean,NA,9,NA,NA,5,7,NA,NA,NA,6,7,NA,7,5,NA,10,6,NA,NA,NA,NA,NA,NA,7,6,8,NA,NA,8
