season,round,gls_for,gls_against,xg_for,xg_against,npxg_for,npxg_against,shots_for,shots_against,touches_for,touches_against,pen_touches_for,pen_touches_against
2022,1,1,0,1.8,1.3,1.8,1.3,14,8,569,657,21,12
2022,2,3,1,1.1,1,1.1,1,13,16,662,458,20,26
2022,3,2,3,0.5,1.3,0.5,1.3,6,14,595,585,12,17
2022,4,1,0,2.7,0.5,2.7,0.5,22,13,744,514,38,15
2022,5,1,0,2,0.5,2,0.5,15,7,610,605,29,14
2022,6,0,3,0.6,2,0.6,2,5,15,628,539,18,24
2022,7,1,0,1.8,0.1,1.8,0.1,17,3,731,438,34,9
2022,8,1,3,2.6,1.9,2.6,1.9,22,21,658,524,33,29
2022,9,2,2,1.6,0.6,1.6,0.6,12,9,609,739,26,24
2022,10,0,2,0.8,1.9,0.8,1.9,14,16,953,391,22,21
2022,11,5,0,2.6,1,2.6,1,18,10,754,562,25,21
2022,12,2,1,0.6,2,0.6,2,7,20,595,779,13,37
2024,1,2,0,1.7,1.4,1.7,1.4,20,7,867,461,29,19
2024,2,0,0,0.6,0.4,0.6,0.4,9,5,660,574,14,21
2024,3,4,2,2.7,1.8,1.9,1,12,10,715,517,26,21
2024,4,1,5,0.7,3.4,0.7,3.4,7,17,597,635,11,21
2024,5,4,2,3.2,1.3,2.4,1.3,22,10,706,422,51,12
2024,6,1,2,0.7,1.5,0.7,0.7,8,13,758,439,17,18
2024,7,2,1,2.9,0.6,2.9,0.6,20,10,933,403,24,13
2024,8,1,2,1,0.6,1,0.6,11,12,856,383,18,18
2024,9,2,1,2.2,0.5,2.2,0.5,20,7,695,578,28,16
2024,10,1,3,0.9,2,0.1,2,1,13,560,618,10,29
2024,11,4,0,1.3,0.9,1.3,0.9,19,7,787,575,38,8
2024,12,1,1,0.6,1.5,0.6,1.5,7,14,457,781,14,26
