player,position,team,mins,nineties,goals90,assists90,goals_assists90,np_goals90,npga90,xg90,xa90,xg_xa90,npxg90,npxgxa90
Robert Lewandowski,FW,Bayern Munich,1861,20.7,1.35,0.29,1.64,1.11,1.4,0.93,0.13,1.06,0.71,0.84
Erling Haaland,FW,Dortmund,1541,17.1,0.99,0.23,1.23,0.93,1.17,0.86,0.23,1.09,0.77,1
Sasa Kalajdzic,FW,Stuttgart,1186,13.2,0.83,0.23,1.06,0.83,1.06,0.48,0.2,0.67,0.48,0.67
Thomas Müller,MF,Bayern Munich,1770,19.7,0.51,0.56,1.07,0.46,1.02,0.26,0.37,0.63,0.22,0.59
Kingsley Coman,FWMF,Bayern Munich,1199,13.3,0.23,0.68,0.9,0.23,0.9,0.21,0.37,0.58,0.21,0.58
Joshua Kimmich,MF,Bayern Munich,1306,14.5,0.14,0.69,0.83,0.14,0.83,0.13,0.37,0.5,0.13,0.5
Leroy Sané,FWMF,Bayern Munich,1205,13.4,0.3,0.52,0.82,0.3,0.82,0.24,0.39,0.63,0.24,0.63
Lucas Alario,FW,Leverkusen,1010,11.2,0.8,0.18,0.98,0.62,0.8,0.5,0.03,0.53,0.36,0.39
Ihlas Bebou,FW,Hoffenheim,1286,14.3,0.42,0.35,0.77,0.42,0.77,0.38,0.25,0.62,0.38,0.62
Jonas Hofmann,FWMF,M'Gladbach,1326,14.7,0.34,0.61,0.95,0.14,0.75,0.31,0.24,0.55,0.16,0.39
André Silva,FW,Eint Frankfurt,1805,20.1,0.95,0.1,1.05,0.65,0.75,0.8,0.19,0.99,0.57,0.76
Jadon Sancho,FWMF,Dortmund,1770,19.7,0.31,0.46,0.76,0.25,0.71,0.31,0.27,0.58,0.27,0.54
Yussuf Poulsen,FW,RB Leipzig,1044,11.6,0.43,0.26,0.69,0.43,0.69,0.34,0.18,0.52,0.34,0.52
Wout Weghorst,FW,Wolfsburg,1961,21.8,0.64,0.14,0.78,0.55,0.69,0.59,0.12,0.72,0.5,0.62
Andrej Kramarić,FWMF,Hoffenheim,1532,17,0.76,0.18,0.94,0.47,0.65,0.71,0.18,0.89,0.47,0.65
Leon Bailey,FW,Leverkusen,1676,18.6,0.32,0.32,0.64,0.32,0.64,0.29,0.19,0.48,0.29,0.48
Filip Kostić,DF,Eint Frankfurt,1545,17.2,0.12,0.52,0.64,0.12,0.64,0.16,0.3,0.46,0.16,0.46
Christopher Nkunku,FWMF,RB Leipzig,1151,12.8,0.39,0.23,0.63,0.39,0.63,0.43,0.29,0.72,0.43,0.72
Raphaël Guerreiro,DF,Dortmund,1595,17.7,0.17,0.45,0.62,0.17,0.62,0.16,0.29,0.45,0.16,0.45
Daichi Kamada,MFFW,Eint Frankfurt,1591,17.7,0.17,0.45,0.62,0.17,0.62,0.21,0.35,0.56,0.21,0.56
