season,player,mins,goals,assist,second_assist,assist_total,points,pk,g90,a90,p90,np_points90,goals_on,involvement,sum_goals,contribution,n,x,y
20/21,Erling Haaland ,651,10,2,0,2,12,1,1.38,0.28,1.66,1.52,19,0.632,26,0.3846,5,-10,18.6
20/21,Erling Haaland ,651,10,2,0,2,12,1,1.38,0.28,1.66,1.52,19,0.632,26,0.3846,5,0,9.3
20/21,Erling Haaland ,651,10,2,0,2,12,1,1.38,0.28,1.66,1.52,19,0.632,26,0.3846,5,0,10.7
20/21,Erling Haaland ,651,10,2,0,2,12,1,1.38,0.28,1.66,1.52,19,0.632,26,0.3846,5,-10,21.4
20/21,Gio Reyna ,887,3,4,4,8,11,0,0.3,0.81,1.12,1.12,17,0.647,26,0.1154,-2,-10,-9.4
20/21,Gio Reyna ,887,3,4,4,8,11,0,0.3,0.81,1.12,1.12,17,0.647,26,0.1154,-2,0,-4.7
20/21,Gio Reyna ,887,3,4,4,8,11,0,0.3,0.81,1.12,1.12,17,0.647,26,0.1154,-2,0,-3.3
20/21,Gio Reyna ,887,3,4,4,8,11,0,0.3,0.81,1.12,1.12,17,0.647,26,0.1154,-2,-10,-6.6
20/21,Marco Reus ,736,3,1,4,5,8,0,0.37,0.61,0.98,0.98,18,0.444,26,0.1154,-3,-10,-13.4
20/21,Marco Reus ,736,3,1,4,5,8,0,0.37,0.61,0.98,0.98,18,0.444,26,0.1154,-3,0,-6.7
20/21,Marco Reus ,736,3,1,4,5,8,0,0.37,0.61,0.98,0.98,18,0.444,26,0.1154,-3,0,-5.3
20/21,Marco Reus ,736,3,1,4,5,8,0,0.37,0.61,0.98,0.98,18,0.444,26,0.1154,-3,-10,-10.6
20/21,Mats Hummels ,1159,3,0,1,1,4,0,0.23,0.08,0.31,0.31,26,0.154,26,0.1154,-4,-10,-17.4
20/21,Mats Hummels ,1159,3,0,1,1,4,0,0.23,0.08,0.31,0.31,26,0.154,26,0.1154,-4,0,-8.7
20/21,Mats Hummels ,1159,3,0,1,1,4,0,0.23,0.08,0.31,0.31,26,0.154,26,0.1154,-4,0,-7.3
20/21,Mats Hummels ,1159,3,0,1,1,4,0,0.23,0.08,0.31,0.31,26,0.154,26,0.1154,-4,-10,-14.6
19/20,Jadon Sancho ,2287,17,16,15,31,48,0,0.67,1.26,1.93,1.93,72,0.681,84,0.2024,2,-10,6.6
19/20,Jadon Sancho ,2287,17,16,15,31,48,0,0.67,1.26,1.93,1.93,72,0.681,84,0.2024,2,0,3.3
19/20,Jadon Sancho ,2287,17,16,15,31,48,0,0.67,1.26,1.93,1.93,72,0.681,84,0.2024,2,0,4.7
19/20,Jadon Sancho ,2287,17,16,15,31,48,0,0.67,1.26,1.93,1.93,72,0.681,84,0.2024,2,-10,9.4
19/20,Erling Haaland ,1063,13,2,2,4,17,0,1.1,0.34,1.44,1.44,31,0.548,84,0.1548,1,-10,2.6
19/20,Erling Haaland ,1063,13,2,2,4,17,0,1.1,0.34,1.44,1.44,31,0.548,84,0.1548,1,0,1.3
19/20,Erling Haaland ,1063,13,2,2,4,17,0,1.1,0.34,1.44,1.44,31,0.548,84,0.1548,1,0,2.7
19/20,Erling Haaland ,1063,13,2,2,4,17,0,1.1,0.34,1.44,1.44,31,0.548,84,0.1548,1,-10,5.4
19/20,Marco Reus ,1495,11,5,3,8,19,1,0.66,0.54,1.2,1.14,47,0.426,84,0.131,-1,-10,-5.4
19/20,Marco Reus ,1495,11,5,3,8,19,1,0.66,0.54,1.2,1.14,47,0.426,84,0.131,-1,0,-2.7
19/20,Marco Reus ,1495,11,5,3,8,19,1,0.66,0.54,1.2,1.14,47,0.426,84,0.131,-1,0,-1.3
19/20,Marco Reus ,1495,11,5,3,8,19,1,0.66,0.54,1.2,1.14,47,0.426,84,0.131,-1,-10,-2.6
18/19,Marco Reus ,2321,18,8,5,13,31,3,0.7,0.62,1.32,1.2,60,0.567,81,0.2222,4,-10,14.6
18/19,Marco Reus ,2321,18,8,5,13,31,3,0.7,0.62,1.32,1.2,60,0.567,81,0.2222,4,0,7.3
18/19,Marco Reus ,2321,18,8,5,13,31,3,0.7,0.62,1.32,1.2,60,0.567,81,0.2222,4,0,8.7
18/19,Marco Reus ,2321,18,8,5,13,31,3,0.7,0.62,1.32,1.2,60,0.567,81,0.2222,4,-10,17.4
18/19,Paco Alcácer ,1203,18,0,3,3,21,1,1.35,0.3,1.65,1.57,42,0.524,81,0.2222,3,-10,10.6
18/19,Paco Alcácer ,1203,18,0,3,3,21,1,1.35,0.3,1.65,1.57,42,0.524,81,0.2222,3,0,5.3
18/19,Paco Alcácer ,1203,18,0,3,3,21,1,1.35,0.3,1.65,1.57,42,0.524,81,0.2222,3,0,6.7
18/19,Paco Alcácer ,1203,18,0,3,3,21,1,1.35,0.3,1.65,1.57,42,0.524,81,0.2222,3,-10,13.4
18/19,Jadon Sancho ,2462,12,14,12,26,38,0,0.44,1.06,1.5,1.5,68,0.603,81,0.1481,0,-10,-1.4
18/19,Jadon Sancho ,2462,12,14,12,26,38,0,0.44,1.06,1.5,1.5,68,0.603,81,0.1481,0,0,-0.7
18/19,Jadon Sancho ,2462,12,14,12,26,38,0,0.44,1.06,1.5,1.5,68,0.603,81,0.1481,0,0,0.7
18/19,Jadon Sancho ,2462,12,14,12,26,38,0,0.44,1.06,1.5,1.5,68,0.603,81,0.1481,0,-10,1.4
