player,name,surname,season,squad,mins,nineties,ga,ga90,pk,fk,ck,og,sota,sota90,psxg,psxg_sot,psxg_plus_minus,psxg90,launch_cmp,launch_att,launch_cmp_percent,pass_att,pass_thr,pass_launch_percent,pass_avg_len,goal_kick_att,goal_kick_launch_percent,goal_kick_avg_len,cross_att,cross_stp,cross_stp_perc,opa,opa90,sweep_avg_dist
Oliver Baumann,Oliver,Baumann,1920,Hoffenheim,2700,30,49,1.63,5,0,4,2,143,4.77,42.3,0.26,-4.7,-0.16,163,436,37.4,1038,181,32,32.7,265,39.2,36.7,308,16,5.2,33,1.1,15.3
Roman Bürki,Roman,Burki,1920,Dortmund,2770,30.8,40,1.3,3,0,8,3,93,3.02,34.7,0.36,-2.3,-0.07,116,320,36.3,843,181,29.8,32.8,204,33.8,34.3,221,15,6.8,27,0.88,14.8
Koen Casteels,Koen,Casteels,1920,Wolfsburg,2340,26,38,1.46,4,1,5,0,104,4,36.8,0.33,-1.2,-0.05,227,485,46.8,807,123,47,40.1,178,59.6,48.7,217,18,8.3,24,0.92,15.5
Mark Flekken,Mark,Flekken,1920,Freiburg,900,10,14,1.4,0,0,1,0,70,7,16.4,0.23,2.4,0.24,82,206,39.8,324,41,43.8,40.1,111,57.7,51.5,93,3,3.2,2,0.2,12.5
Rafał Gikiewicz,Rafal,Gikiewicz,1920,Union Berlin,2970,33,54,1.64,3,0,9,1,160,4.85,51,0.3,-2,-0.06,412,890,46.3,1087,124,61.5,47.4,269,82.2,60.7,295,28,9.5,23,0.7,15.3
Péter Gulácsi,Peter,Gulacsi,1920,RB Leipzig,2880,32,34,1.06,2,0,8,0,117,3.66,37.6,0.31,3.6,0.11,165,398,41.5,1042,183,30.5,33.1,226,35.4,35.2,243,19,7.8,48,1.5,17.2
Marwin Hitz,Marwin,Hitz,1920,Dortmund,290,3.2,1,0.31,0,0,0,0,7,2.19,2.7,0.39,1.7,0.53,9,24,37.5,75,14,20,31,25,36,39.9,21,2,9.5,4,1.24,17.5
Timo Horn,Timo,Horn,1920,Köln,3060,34,69,2.03,4,1,11,2,152,4.47,53.1,0.32,-13.9,-0.41,311,630,49.4,892,99,53.9,42.2,298,50,40.7,270,18,6.7,14,0.41,14.1
Lukáš Hrádecký,Lukas,Hradecky,1920,Leverkusen,3060,34,44,1.29,2,1,6,0,137,4.03,48.7,0.35,4.7,0.14,261,604,43.2,1362,205,37,35.7,234,42.7,38.9,218,21,9.6,29,0.85,15.8
Jannik Huth,Jannik,Huth,1920,Paderborn 07,540,6,17,2.83,1,0,1,0,32,5.33,11.7,0.34,-5.3,-0.88,34,83,41,205,37,33.7,34,49,28.6,33.4,43,4,9.3,4,0.67,15.9
