Player,Name,Surname,Season,Squad,Age,Born,Mins,90s,GA,GA90,PKA,FK,CK,OG,SoTA,SoTA90,PSxG,PsxG_SoT,PsxG_PlusMinus,PsxG_90,Launch_Cmp,Launch_Att,Launch_Cmp_Perc,Pass_Att,Pass_Thr,Pass_Launch_Perc,Pass_AvgLen,GK_Att,GK_Launch_Perc,GK_Avg_Len,Cross_Att,Cross_Stp,Cross_Stp_Perc,OPA,OPA_90,Sweep_AvgDist
Oliver Baumann,Oliver,Baumann,1920,Hoffenheim,29,1990,1890,21,39,1.86,4,0,3,1,106,5.05,34.2,0.33,-3.8,-0.18,124,315,39.4,774,124,32.6,32.7,193,32.6,33,144,7,4.9,26,1.24,16.1
Roman Bürki,Roman,Bürki,1920,Dortmund,28,1990,1961,21.8,32,1.47,0,0,8,3,67,3.07,23.8,0.37,-5.2,-0.24,88,246,35.8,628,118,30.4,33.2,148,37.2,35.6,116,8,6.9,24,1.1,15.7
Koen Casteels,Koen,Casteels,1920,Wolfsburg,27,1992,1530,17,22,1.29,2,1,4,0,74,4.35,21.6,0.3,-0.4,-0.03,150,324,46.3,514,81,49.6,41.4,118,58.5,47.6,113,10,8.8,14,0.82,14.9
Mark Flekken,Mark,Flekken,1920,Freiburg,26,1993,810,9,14,1.56,0,0,1,0,64,7.11,15.7,0.25,1.7,0.19,73,190,38.4,289,38,45,40.6,95,63.2,54.7,51,3,5.9,2,0.22,12.4
Rafał Gikiewicz,Rafał,Gikiewicz,1920,Union Berlin,31,1987,2250,25,41,1.64,2,0,7,1,129,5.16,40.4,0.32,0.4,0.02,314,661,47.5,819,98,60.2,46.9,213,78.9,59.3,143,13,9.1,17,0.68,15.1
Péter Gulácsi,Péter,Gulácsi,1920,RB Leipzig,29,1990,2160,24,24,1,1,0,4,0,86,3.58,27.6,0.33,3.6,0.15,109,278,39.2,742,136,30.2,32.7,155,34.8,34.9,122,10,8.2,38,1.58,17
Marwin Hitz,Marwin,Hitz,1920,Dortmund,31,1987,289,3.2,1,0.31,0,0,0,0,7,2.19,2.7,0.38,1.7,0.51,9,24,37.5,75,14,20,31,25,36,39.9,17,2,11.8,4,1.25,17.5
Timo Horn,Timo,Horn,1920,Köln,26,1993,2250,25,45,1.8,4,1,7,2,101,4.04,33.2,0.33,-9.8,-0.39,226,458,49.3,610,73,56.9,43.6,221,50.2,40.2,151,9,6,8,0.32,13.3
Lukáš Hrádecký,Lukáš,Hrádecký,1920,Leverkusen,29,1989,2250,25,30,1.2,1,0,4,0,100,4.00,32.5,0.33,2.5,0.1,193,461,41.9,995,149,38.4,36.3,183,43.2,39,122,11,9,22,0.88,15.7
Jannik Huth,Jannik,Huth,1920,Paderborn 07,25,1994,540,6,17,2.83,1,0,1,0,32,5.33,13.5,0.42,-3.5,-0.58,34,83,41,205,37,33.7,34,49,28.6,33.4,31,4,12.9,4,0.67,15.9
Rune Jarstein,Rune,Jarstein,1920,Hertha BSC,34,1984,1827,20.3,37,1.82,7,2,3,2,105,5.17,33.3,0.32,-1.7,-0.08,222,460,48.3,582,91,58.4,42.8,156,76.9,53.7,143,10,7,12,0.59,13.5
Stefanos Kapino,Stefanos,Kapino,1920,Werder Bremen,25,1994,90,1,2,2,0,0,0,0,5,5.00,1.3,0.28,-0.7,-0.66,9,18,50,25,8,48,40,9,66.7,45.6,16,0,0,1,1,13.4
Florian Kastenmeier,Florian,Kastenmeier,1920,Düsseldorf,23,1996,720,8,14,1.75,2,0,1,2,39,4.88,15.3,0.4,3.3,0.41,55,152,36.2,235,22,48.9,41.5,53,69.8,54.2,45,1,2.2,7,0.88,16.8
Tomáš Koubek,Tomáš,Koubek,1920,Augsburg,26,1992,2070,23,49,2.13,0,0,4,2,117,5.09,39.5,0.34,-7.5,-0.33,155,472,32.8,594,96,54.4,45.3,203,73.4,57.5,178,11,6.2,21,0.91,15.4
Thomas Kraft,Thomas,Kraft,1920,Hertha BSC,31,1988,360,4,9,2.25,0,0,2,0,20,5.00,6.5,0.33,-2.5,-0.61,38,88,43.2,96,15,64.6,45.4,33,78.8,55.3,31,1,3.2,4,1,17.2
Andreas Luthe,Andreas,Luthe,1920,Augsburg,32,1987,180,2,3,1.5,0,0,0,1,7,3.50,3.2,0.46,1.2,0.6,15,32,46.9,38,9,39.5,35.4,27,63,47.7,16,1,6.3,0,0,10.2
Florian Müller,Florian,Müller,1920,Mainz 05,21,1997,315,3.5,13,3.71,1,1,2,0,26,7.43,8.7,0.34,-4.3,-1.22,31,69,44.9,83,17,51.8,43,38,68.4,53.7,29,1,3.4,6,1.71,16.8
Yvon Mvogo,Yvon,Mvogo,1920,RB Leipzig,25,1994,90,1,2,2,0,0,0,0,4,4.00,1.3,0.33,-0.7,-0.7,4,13,30.8,39,5,28.2,32.2,6,33.3,34.5,5,0,0,2,2,17
Manuel Neuer,Manuel,Neuer,1920,Bayern Munich,33,1986,2250,25,26,1.04,3,0,4,0,86,3.44,25.8,0.3,-0.2,-0.01,157,260,60.4,963,150,24.3,29.6,128,20.3,28.2,92,6,6.5,41,1.64,19.5
Alexander Nübel,Alexander,Nübel,1920,Schalke 04,22,1996,1775,19.7,27,1.37,4,1,4,1,85,4.31,25.9,0.32,-0.1,-0.01,122,325,37.5,635,90,37.2,37.1,161,55.3,44.3,119,6,5,14,0.71,15.1
