League,Year,Season,Pts
Bundesliga,2000,00/01,8
La Liga,2000,00/01,13
Premier League,2000,00/01,10
Bundesliga,2001,01/02,10
La Liga,2001,01/02,14
Premier League,2001,01/02,9
Bundesliga,2002,02/03,5
La Liga,2002,02/03,12
Premier League,2002,02/03,8
Bundesliga,2003,03/04,4
La Liga,2003,03/04,11
Premier League,2003,03/04,9
Bundesliga,2004,04/05,7
La Liga,2004,04/05,6
Premier League,2004,04/05,14
Bundesliga,2005,05/06,5
La Liga,2005,05/06,13
Premier League,2005,05/06,10
Bundesliga,2006,06/07,5
La Liga,2006,06/07,7
Premier League,2006,06/07,15
Bundesliga,2007,07/08,5
La Liga,2007,07/08,9
Premier League,2007,07/08,18
Bundesliga,2008,08/09,4
La Liga,2008,08/09,13
Premier League,2008,08/09,16
Bundesliga,2009,09/10,8
La Liga,2009,09/10,9
Premier League,2009,09/10,9
Bundesliga,2010,10/11,7
La Liga,2010,10/11,12
Premier League,2010,10/11,13
Bundesliga,2011,11/12,8
La Liga,2011,11/12,10
Premier League,2011,11/12,10
Bundesliga,2012,12/13,13
La Liga,2012,12/13,13
Premier League,2012,12/13,6
Bundesliga,2013,13/14,11
La Liga,2013,13/14,15
Premier League,2013,13/14,11
Bundesliga,2014,14/15,10
La Liga,2014,14/15,14
Premier League,2014,14/15,7
Bundesliga,2015,15/16,9
La Liga,2015,15/16,16
Premier League,2015,15/16,9
Bundesliga,2016,16/17,9
La Liga,2016,16/17,15
Premier League,2016,16/17,8
Bundesliga,2017,17/18,6
La Liga,2017,17/18,13
Premier League,2017,17/18,14
Bundesliga,2018,18/19,7
La Liga,2018,18/19,9
Premier League,2018,18/19,17
