League,Year,Teams,Revenue
Premier League,2019,13,4411.4
Serie A,2019,5,1316.2
La Liga,2019,4,1910.9
Bundesliga,2019,3,1190.2
Ligue 1,2019,2,705.9
Premier League,2018,14,4437.1
Serie A,2018,5,1232
Bundesliga,2018,4,1319.9
La Liga,2018,3,1595.4
Ligue 1,2018,2,684.5
Premier League,2017,12,3821.1
Serie A,2017,5,1095.9
Bundesliga,2017,4,1249.7
La Liga,2017,3,1468.9
Ligue 1,2017,2,680.9
Premier League,2016,16,3939.8
Serie A,2016,5,993.7
Bundesliga,2016,3,1324.9
La Liga,2016,3,974.3
Ligue 1,2016,1,480.8
Premier League,2015,14,3140.2
Serie A,2015,5,985.3
Bundesliga,2015,4,1083.2
La Liga,2015,3,1204
Ligue 1,2015,2,604.7
Premier League,2014,8,1957
Serie A,2014,6,1051.7
Bundesliga,2014,5,1137.5
La Liga,2014,4,1237.5
Ligue 1,2014,2,503.1
Premier League,2013,11,2213.6
Serie A,2013,5,917.2
Bundesliga,2013,5,963.9
La Liga,2013,4,1214.6
Ligue 1,2013,3,488.1
Premier League,2012,11,1886.9
Serie A,2012,5,858.8
Bundesliga,2012,6,986.3
La Liga,2012,4,1146.9
Ligue 1,2012,2,283.2
