Squad,Comp,PlayersUsed,Gls,Sh,SoT,SoTpercent,ShotsPer90,SoTper90,GoalsPerShot,GoalsPerSoT,FK,PK,PKatt,xG,npxG,npxGperShot,GxGDiff,npGxGDiff
Napoli,Serie A,22,14,74,34,45.9,18.5,8.5,0.19,0.41,2,0,0,7.9,7.9,0.11,6.1,6.1
Bayern Munich,Bundesliga,23,22,95,40,42.1,19,8,0.21,0.5,4,2,2,16.5,15,0.16,5.5,5
Atalanta,Serie A,20,15,80,33,41.3,16,6.6,0.18,0.42,4,1,1,9.9,9.2,0.12,5.1,4.8
Benevento,Serie A,20,9,50,19,38,10,3.8,0.18,0.47,3,0,1,6,5,0.1,3,4
Montpellier,Ligue 1,22,13,88,35,39.8,11,4.37,0.13,0.31,5,2,2,8.5,7,0.08,4.5,4
Tottenham,Premier League,21,16,83,39,47,13.83,6.5,0.18,0.38,4,1,1,10.8,10,0.12,4.2,4
Chelsea,Premier League,24,13,70,27,38.6,11.67,4.5,0.14,0.37,2,3,4,9.1,6.1,0.09,3.9,3.9
Rennes,Ligue 1,27,15,109,32,29.4,13.62,4,0.14,0.47,9,0,0,11.3,11.3,0.1,3.7,3.7
Aston Villa,Premier League,17,12,70,25,35.7,14,5,0.17,0.48,1,0,0,8.4,8.4,0.12,3.6,3.6
Atlético Madrid,La Liga,20,10,65,22,33.8,13,4.4,0.15,0.45,2,0,1,7.4,6.5,0.1,2.6,3.5
Everton,Premier League,20,14,68,29,42.6,11.33,4.83,0.19,0.45,3,1,1,10.3,9.5,0.14,3.7,3.5
Sassuolo,Serie A,22,15,96,36,37.5,19.2,7.2,0.14,0.36,6,2,2,11.3,9.7,0.1,3.7,3.3
Spezia,Serie A,28,7,47,17,36.2,9.4,3.4,0.15,0.41,0,0,0,4.1,4.1,0.09,2.9,2.9
Valencia,La Liga,23,9,66,26,39.4,9.43,3.71,0.14,0.35,10,0,0,6.1,6.1,0.1,2.9,2.9
Real Sociedad,La Liga,23,14,79,25,31.6,11.29,3.57,0.13,0.4,5,4,4,10.4,7.4,0.1,3.6,2.6
Sampdoria,Serie A,23,10,60,21,35,12,4.2,0.15,0.43,1,1,2,7.9,6.4,0.11,2.1,2.6
Southampton,Premier League,20,10,65,30,46.2,10.83,5,0.14,0.3,3,1,1,7.1,6.4,0.1,2.9,2.6
Leicester City,Premier League,22,12,48,23,47.9,8,3.83,0.15,0.3,4,5,5,8.3,4.5,0.1,3.7,2.5
Cagliari,Serie A,21,10,62,23,37.1,12.4,4.6,0.16,0.43,5,0,0,7.6,7.6,0.13,2.4,2.4
Nîmes,Ligue 1,26,9,89,37,41.6,11.12,4.62,0.1,0.24,3,0,0,6.6,6.6,0.07,2.4,2.4
West Brom,Premier League,22,6,49,20,40.8,8.17,3.33,0.12,0.3,2,0,0,2.8,2.8,0.06,2.2,2.2
Marseille,Ligue 1,24,10,75,19,25.3,9.37,2.37,0.13,0.53,1,0,1,8.8,8,0.11,1.2,2
Stuttgart,Bundesliga,23,10,66,21,31.8,13.2,4.2,0.15,0.48,6,0,0,8.1,8.1,0.12,1.9,1.9
Manchester Utd,Premier League,20,8,68,22,32.4,13.6,4.4,0.09,0.27,1,2,3,6.5,4.3,0.07,1.5,1.7
Torino,Serie A,21,7,42,22,52.4,10.5,5.5,0.14,0.27,2,1,1,5,4.3,0.11,2,1.7
Union Berlin,Bundesliga,21,8,72,26,36.1,14.4,5.2,0.11,0.31,2,0,0,6.3,6.3,0.09,1.7,1.7
Arsenal,Premier League,19,8,52,23,44.2,8.67,3.83,0.15,0.35,5,0,0,6.5,6.5,0.13,1.5,1.5
Nice,Ligue 1,25,11,79,28,35.4,9.87,3.5,0.13,0.36,7,1,1,9.4,8.6,0.11,1.6,1.4
Saint-Étienne,Ligue 1,30,9,70,25,35.7,8.75,3.12,0.11,0.32,6,1,1,7.3,6.6,0.1,1.7,1.4
Augsburg,Bundesliga,20,6,36,15,41.7,7.2,3,0.17,0.4,0,0,0,3.7,3.7,0.1,1.3,1.3
Crystal Palace,Premier League,20,8,45,18,40,7.5,3,0.13,0.33,1,2,2,6.1,4.7,0.11,1.9,1.3
Granada,La Liga,22,8,56,20,35.7,9.33,3.33,0.13,0.35,4,1,1,6.4,5.7,0.11,1.6,1.3
Hertha BSC,Bundesliga,21,8,59,23,39,11.8,4.6,0.14,0.35,1,0,0,6.7,6.7,0.11,1.3,1.3
