player_id,player,position,team,league,age,year_of_birth,mins_90s,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,touches_live,touches_success,dribbles_att,dribbles_percent,dribbles_player_count,dribbles_megs,dribbles_carries,carries_total_dist,carries_prog_dist,pass_targets,pass_receptions,pass_reception_percent,miscontrols,dispossessed
10001,Patrick van Aanholt,DF,Crystal Palace,Premier League,28,1990,27.9,1839,97,531,883,531,50,1458,18,36,50,18,2,1000,5651,3129,1079,994,92.1,21,16
10002,Max Aarons,DF,Norwich City,Premier League,19,2000,36,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,9489,5439,1399,1244,88.9,39,48
10003,Yunis Abdelhamid,DF,Reims,Ligue 1,31,1987,28,1856,256,1131,801,61,27,1782,21,26,80.8,21,0,1201,7673,4306,1266,1236,97.6,12,8
10004,Suleiman Abdullahi,FWMF,Union Berlin,Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50,3,1,37,279,177,77,39,50.6,6,2
10005,Mehdi Abeid,MF,Nantes,Ligue 1,26,1992,20.2,1176,22,211,754,283,20,1091,12,22,54.5,12,0,782,4298,2116,854,759,88.9,14,26
10006,Charles Abi,FW,Saint-Étienne,Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,938,492,309,142,46,25,12
10007,David Abraham,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,1073,108,482,588,87,11,1022,9,11,81.8,11,1,662,4121,2352,639,619,96.9,6,2
10008,Tammy Abraham,FW,Chelsea,Premier League,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2317,1164,1076,495,46,71,47
10009,Amir Abrashi,MF,Freiburg,Bundesliga,29,1990,7.4,438,21,141,256,64,3,423,7,10,70,7,0,291,1484,572,288,261,90.6,8,8
10010,Francesco Acerbi,DF,Lazio,Serie A,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11551,6232,1641,1600,97.5,8,7
10011,Che Adams,FW,Southampton,Premier League,23,1996,12.3,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1841,847,657,315,47.9,44,29
10012,Tyler Adams,DFMF,RB Leipzig,Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2484,1118,602,554,92,9,13
10013,Sargis Adamyan,FWMF,Hoffenheim,Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1591,834,404,212,52.5,25,20
10014,Antonio Adán,GK,Atlético Madrid,La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,0,0,0,2,5,5,1,1,100,0,0
10015,Bobby Adekanye,FW,Lazio,Serie A,20,1999,2.1,70,0,9,35,30,13,68,4,4,100,4,0,54,410,241,82,50,61,5,4
10016,Claud Adjapong,DF,Hellas Verona,Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,440,214,76,63,82.9,5,1
10017,Amine Adli,MFFW,Toulouse,Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75,3,0,25,259,144,26,23,88.5,3,1
10018,Yacine Adli,MFFW,Bordeaux,Ligue 1,19,2000,11.3,735,13,73,512,210,13,695,24,42,57.1,28,3,554,3296,1986,612,549,89.7,27,32
10019,Adrián,GK,Liverpool,Premier League,32,1987,9.7,338,301,338,0,0,0,244,0,0,0,0,0,163,641,355,155,154,99.4,0,0
10020,Aritz Aduriz,FW,Athletic Club,La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100,2,0,33,147,46,117,64,54.7,4,2
10021,Lumor Agbenyenu,DF,Mallorca,La Liga,22,1996,20.1,1182,82,387,537,333,14,964,26,45,57.8,30,0,701,4849,2641,665,599,90.1,22,18
10022,Martin Agirregabiria,DF,Alavés,La Liga,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,3313,1909,677,608,89.8,20,17
10023,Lucien Agoume,MF,Inter,Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,145,49,31,29,93.5,0,2
10024,Kevin Agudelo,MFFW,Fiorentina,Serie A,20,1998,0.7,47,0,9,22,20,2,47,2,2,100,2,0,33,269,167,40,32,80,0,2
10025,Kevin Agudelo,MFFW,Genoa,Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2597,1639,348,285,81.9,12,13
10026,Nayef Aguerd,DF,Dijon,Ligue 1,23,1996,10.6,717,92,445,294,15,7,700,1,2,50,1,0,453,2145,1080,477,469,98.3,3,5
10027,Sergio Agüero,FW,Manchester City,Premier League,31,1988,16.1,572,2,21,210,383,154,551,27,45,60,28,2,428,2536,1404,780,450,57.7,24,41
10028,Ruben Aguilar,DF,Monaco,Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,3148,1858,649,601,92.6,8,15
10029,Emmanuel Agyemang-Badu,MFFW,Hellas Verona,Serie A,28,1990,2.6,129,9,32,85,26,1,128,0,1,0,0,0,95,634,267,116,90,77.6,4,3
10030,Jean-Eudes Aholou,MF,Saint-Étienne,Ligue 1,25,1994,7,409,15,87,277,70,12,405,10,13,76.9,12,0,277,1465,733,306,269,87.9,13,10
10031,Joseph Aidoo,DF,Celta Vigo,La Liga,23,1995,27.8,1518,213,835,711,50,11,1475,11,15,73.3,12,0,962,5392,2312,954,934,97.9,5,8
10032,Ola Aina,DF,Torino,Serie A,22,1996,23.1,1476,76,431,728,432,34,1243,56,94,59.6,59,1,922,6764,4212,937,855,91.2,20,27
10033,Youssef Aït Bennasser,MF,Bordeaux,Ligue 1,23,1996,6,473,12,81,365,47,1,466,6,12,50,7,0,340,1357,678,369,349,94.6,7,6
10034,Rayan Aït Nouri,DF,Angers,Ligue 1,18,2001,14.2,996,40,310,491,269,16,846,19,41,46.3,22,2,617,3810,2409,609,565,92.8,20,20
10035,Albian Ajeti,MFFW,West Ham,Premier League,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3
10036,Ludovic Ajorque,FW,Strasbourg,Ligue 1,25,1994,22.9,755,22,52,415,315,110,731,14,27,51.9,15,1,404,1900,874,977,580,59.4,73,23
10037,Manuel Akanji,DF,Dortmund,Bundesliga,24,1995,25.7,2161,235,1146,1087,82,15,2093,8,12,66.7,9,1,1589,9126,4667,1683,1657,98.5,10,6
10038,Marley Aké,FWMF,Marseille,Ligue 1,18,2001,1.1,43,1,8,20,17,2,41,3,4,75,3,0,35,246,133,46,28,60.9,2,2
10039,Nathan Aké,DF,Bournemouth,Premier League,24,1995,27.8,1508,277,923,595,86,34,1455,5,5,100,5,0,845,5259,2906,948,900,94.9,7,5
10040,Chadrac Akolo,FWMF,Amiens,Ligue 1,24,1995,6,281,5,50,146,105,15,278,11,19,57.9,12,0,224,1065,607,256,196,76.6,6,14
