player,position,team,nineties,mins,sca90,gca90,pass_live,pass_dead,dribble,shot,fouled,defense
Christopher Nkunku,FWMF,RB Leipzig,12.8,1152,6.18,0.78,2.5,2.03,0.39,0.39,0.78,0.08
Jadon Sancho,FWMF,Dortmund,19.7,1773,5.29,0.97,3.76,0.96,0.3,0.1,0.1,0.05
Joshua Kimmich,MF,Bayern Munich,14.5,1305,4.82,0.9,3.03,1.52,0.07,0.07,0.07,0.07
Vincenzo Grifo,MFFW,Freiburg,19.2,1728,4.74,0.6,2.81,1.35,0.21,0.21,0.05,0.05
Dani Olmo,MFFW,RB Leipzig,18.2,1638,4.56,0.88,3.46,0,0.22,0.6,0.16,0.11
Thomas Müller,MF,Bayern Munich,19.7,1773,4.47,0.86,4.11,0.05,0.1,0.05,0.05,0.1
Gonzalo Castro,MFFW,Stuttgart,14.2,1278,4.42,0.21,2.32,1.55,0.21,0.21,0,0.14
Daichi Kamada,MFFW,Eint Frankfurt,17.7,1593,4.3,0.91,2.49,1.19,0.11,0.11,0.28,0.11
Amine Harit,FWMF,Schalke 04,14.6,1314,4.25,0.48,2.74,0.75,0.27,0.07,0.34,0.07
Kingsley Coman,FWMF,Bayern Munich,13.3,1197,4.2,0.9,3.31,0,0.6,0.23,0.08,0
Leroy Sané,FWMF,Bayern Munich,13.4,1206,4.18,1.05,2.37,0.59,0.38,0.32,0.48,0.05
Julian Brandt,FWMF,Dortmund,12.3,1107,4.15,0.24,3.13,0.15,0.75,0.07,0.07,0
Matheus Cunha,FWMF,Hertha BSC,19.2,1728,4.11,0.36,3.5,0.16,0.16,0.16,0.16,0
Leon Bailey,FW,Leverkusen,18.6,1674,4.09,0.62,1.77,0.89,0.52,0.36,0.31,0.26
Jonas Hofmann,FWMF,M'Gladbach,14.7,1323,4,0.68,1.7,1.9,0.07,0.07,0.2,0.07
Filip Kostić,DF,Eint Frankfurt,17.2,1548,3.96,0.93,2.73,0.87,0,0.23,0.12,0
Serge Gnabry,FWMF,Bayern Munich,14,1260,3.92,0.64,3.07,0.43,0.21,0.14,0.07,0
Kerem Demirbay,MF,Leverkusen,11.5,1035,3.82,0.26,1.83,1.3,0.26,0.35,0.09,0
Amin Younes,MFFW,Eint Frankfurt,11.5,1035,3.82,0.52,2.26,0.43,0.61,0.17,0.35,0
Raphaël Guerreiro,DF,Dortmund,17.7,1593,3.78,0.68,3.28,0.23,0.11,0.06,0.06,0.06
