Game,Home,Opponent,Possession,Distance,Points,Difficulty,xG,xGA,xDiff,Absence,Absence2,Witsel,Conversion Rate,Dortmund Third,Middle Third,Opposition Third,Dispossessed,Errors,Touches,Shots,Paco_xG,Paco_Shots,Paco_Goals,Paco_xG_Mins,Paco_Shots_Mins,Paco_Goals_Mins
1,1,Leipzig,0.46,118.74,3,16,1.96,1.46,0.5,5,13,11.2,0.36,0.37,0.43,0.19,10,0,593,11,,,,,,
2,0,Hannover,0.44,125.18,1,2,0.84,0.46,0.38,7,17,12.21,0,0.25,0.53,0.22,14,0,649,9,,,,,,
3,1,Frankfurt,0.6,119.04,3,12,1.96,0.2,1.76,6,14,,0.36,0.23,0.5,0.27,15,0,817,10,0.02,1,1,0.00,0.04,0.04
4,0,Hoffenheim,0.6,120.47,1,10,1.45,1.93,-0.48,7,19,11.54,0.12,0.22,0.5,0.29,16,0,767,8,,,,,,
5,1,Nuremberg,0.73,113.74,3,1,2.19,0.15,2.04,7,19,7.49,0.36,0.17,0.56,0.27,9,0,1030,19,,,,,,
6,0,Leverkusen,0.57,124.17,3,15,2.98,1.34,1.64,8,20,11.87,0.25,0.27,0.48,0.26,14,1,853,16,1.08,3,2,0.04,0.12,0.08
7,1,Augsburg,0.65,114.41,3,4,2.1,3.19,-1.09,7,11,10.9,0.2,0.27,0.45,0.29,9,1,758,20,0.91,6,3,0.03,0.20,0.10
8,0,Stuttgart,0.5,117.47,3,3,0.95,1.04,-0.09,11,31,11.21,0.33,0.32,0.46,0.23,7,1,672,12,0.16,3,1,0.00,0.06,0.02
9,1,Hertha,0.58,119.37,1,8,3.57,2.04,1.53,11,35,11.4,0.1,0.21,0.5,0.29,16,1,745,19,,,,,,
10,0,Wolfsburg,0.57,117.84,3,13,1.19,0.44,0.75,10,28,11.54,0.08,0.24,0.42,0.34,8,0,737,12,0.03,1,0,0.00,0.01,0.00
11,1,Bayern,0.43,125.48,3,18,2.56,1.84,0.72,8,26,11.45,0.27,0.34,0.47,0.19,13,0,672,11,0.57,1,1,0.02,0.03,0.03
12,0,Mainz,0.66,118.18,3,7,1.08,1.06,0.02,2,2,11.51,0.18,0.33,0.4,0.27,10,0,889,11,0.59,1,1,0.02,0.04,0.04
13,1,Freiburg,0.67,114.89,3,6,2.69,0.14,2.55,9,25,11.14,0.18,0.18,0.49,0.35,12,0,963,11,0.5,1,1,0.03,0.05,0.05
14,0,Schalke,0.53,112.58,3,5,0.9,1.45,-0.55,5,9,11.44,0.22,0.27,0.46,0.28,8,0,685,9,0.02,1,0,0.00,0.01,0.00
15,1,Werder Bremen,0.52,118.91,3,11,2.89,0.46,2.43,5,9,11.84,0.12,0.28,0.46,0.25,13,0,717,16,0.7,3,1,0.01,0.04,0.01
16,0,Dusseldorf,0.73,121.41,0,9,1.3,1.37,-0.07,4,8,11.61,0.1,0.15,0.51,0.35,16,0,979,10,0.68,2,1,0.02,0.07,0.03
17,1,Gladbach,0.54,123.21,3,14,1.8,0.52,1.28,10,30,12.27,0.16,0.17,0.5,0.31,7,0,854,12,0.12,1,0,0.00,0.03,0.00
18,0,Leipzig,0.52,122.41,3,16,1.02,0.78,0.24,11,37,11.52,0.12,0.34,0.46,0.2,24,0,769,8,0.36,1,0,0.04,0.10,0.00
19,1,Hannover,0.64,112.52,3,2,2.9,0.82,2.08,8,24,10.93,0.27,0.21,0.5,0.28,13,0,825,18,0,0,0,0.00,0.00,0.00
20,0,Frankfurt,0.59,117.52,1,12,1.88,1.44,0.44,7,21,11.02,0.07,0.31,0.46,0.23,18,1,834,13,0.35,5,0,0.00,0.06,0.00
21,1,Hoffenheim,0.59,119.23,1,10,2,2.48,-0.48,13,45,11.64,0.18,0.28,0.43,0.28,11,1,820,16,0.11,1,0,0.01,0.05,0.00
22,0,Nuremberg,0.72,122.51,1,1,0.93,0.5,0.43,13,45,11.6,0,0.14,0.46,0.39,6,0,994,17,0.24,3,0,0.01,0.13,0.00
23,1,Leverkusen,0.34,119.75,3,15,1.05,1.26,-0.21,9,29,11.89,0.33,0.32,0.49,0.2,10,0,561,9,0.18,2,0,0.00,0.02,0.00
24,0,Augsburg,0.72,116.1,0,4,2.85,0.96,1.89,6,14,11.23,0.05,0.16,0.51,0.33,9,3,965,17,0.63,2,1,0.03,0.09,0.05
25,1,Stuttgart,0.75,113.05,3,3,2.56,0.9,1.66,10,22,11.07,0.16,0.17,0.46,0.36,14,1,1007,18,0.91,5,1,0.01,0.06,0.01
26,0,Hertha,0.52,119.53,3,8,2.24,2.21,0.03,15,47,,0.12,0.24,0.48,0.28,8,1,647,25,,,,,,
27,1,Wolfsburg,0.53,113.37,3,13,1.45,0.17,1.28,7,17,10.76,0.18,0.21,0.48,0.31,12,0,670,11,0.8,4,2,0.01,0.04,0.02
28,0,Bayern,0.41,111.87,0,18,0.48,4.31,-3.83,11,31,10.84,0,0.38,0.44,0.18,7,1,577,4,,,,,,
29,1,Mainz,0.61,126.5,3,7,2.14,2.94,-0.8,11,31,12.46,0.16,0.29,0.48,0.23,6,1,949,12,,,,,,
30,0,Freiburg,0.59,117.07,3,6,2.92,0.54,2.38,8,22,11.38,0.4,0.27,0.49,0.23,10,0,829,10,0.76,1,1,0.08,0.11,0.11
31,1,Schalke,0.7,105.41,3,5,1.1,1.12,-0.02,8,22,10.93,0.25,0.17,0.55,0.28,8,0,832,8,0,0,0,,0.00,0.00
32,0,Werder Bremen,0.52,120.59,1,11,2.67,0.64,2.03,11,33,11.92,0.1,0.3,0.47,0.24,10,2,758,20,0.5,3,0,0.01,0.03,0.00
33,1,Dusseldorf,0.61,118.24,3,9,2.04,2.08,-0.04,18,58,11.44,0.2,0.16,0.53,0.31,11,1,890,15,0.05,1,1,0.00,0.01,0.01
34,0,Gladbach,0.7,114.88,3,14,2.36,0.63,1.73,8,22,11.45,0.16,0.18,0.51,0.32,10,1,1034,12,0,0,0,0.00,0.00,0.00
