first_name,last_name,team,league,nineties,goals,shots,shots_on_target,sot_percent,shots90,sot90,goals_per_shot,goals_per_sot,shot_distance,xg,npxg,npxg_shot,goals_minus_xg,npg_minus_npxg
Tammy,Abraham,Chelsea,Premier League,11.3,6,31,13,41.9,2.73,1.15,0.19,0.46,9.9,5.6,5.6,0.18,0.4,0.4
Che,Adams,Southampton,Premier League,24.1,7,47,23,48.9,1.95,0.95,0.15,0.3,13.3,6.9,6.9,0.15,0.1,0.1
Ludovic,Ajorque,Strasbourg,Ligue 1,27.4,12,56,24,42.9,2.05,0.88,0.14,0.33,14.4,14.4,10.6,0.19,-2.4,-2.6
Lucas,Alario,Leverkusen,Bundesliga,13,10,36,17,47.2,2.78,1.31,0.22,0.47,12.7,6.2,4.8,0.13,3.8,3.2
Luis,Alberto,Lazio,Serie A,21.1,8,53,23,43.4,2.51,1.09,0.15,0.35,21.1,4.2,4,0.08,3.8,4
Michail,Antonio,West Ham,Premier League,16.8,7,48,19,39.6,2.86,1.13,0.15,0.37,12.5,9.2,9.2,0.2,-2.2,-2.2
Iago,Aspas,Celta Vigo,La Liga,24.2,10,36,16,44.4,1.48,0.66,0.19,0.44,15.4,9.3,7,0.2,0.7,0
Pierre-Emerick,Aubameyang,Arsenal,Premier League,22.3,9,48,18,37.5,2.15,0.81,0.15,0.39,14.1,9,7.4,0.15,0,-0.4
Stéphane,Bahoken,Angers,Ligue 1,13.6,6,46,20,43.5,3.37,1.47,0.13,0.3,16,6.1,5.3,0.12,-0.1,0.7
Leon,Bailey,Leverkusen,Bundesliga,20.4,6,49,17,34.7,2.4,0.83,0.12,0.35,21.6,5.3,5.3,0.11,0.7,0.7
Jonathan,Bamba,Lille,Ligue 1,28.1,6,50,15,30,1.78,0.53,0.12,0.4,21.6,3.9,3.9,0.08,2.1,2.1
Patrick,Bamford,Leeds United,Premier League,27.8,14,92,37,40.2,3.31,1.33,0.14,0.35,12.6,14.5,13.7,0.15,-0.5,-0.7
