League,Year,Season,Pts
Bundesliga,1992,92/93,0
Bundesliga,1993,93/94,1
Bundesliga,1994,94/95,4
Bundesliga,1995,95/96,3
Bundesliga,1996,96/97,6
Bundesliga,1997,97/98,10
Bundesliga,1998,98/99,8
Bundesliga,1999,99/00,8
Bundesliga,2000,00/01,8
Bundesliga,2001,01/02,10
Bundesliga,2002,02/03,5
Bundesliga,2003,03/04,4
Bundesliga,2004,04/05,7
Bundesliga,2005,05/06,5
Bundesliga,2006,06/07,5
Bundesliga,2007,07/08,5
Bundesliga,2008,08/09,4
Bundesliga,2009,09/10,8
Bundesliga,2010,10/11,7
Bundesliga,2011,11/12,8
Bundesliga,2012,12/13,13
Bundesliga,2013,13/14,11
Bundesliga,2014,14/15,10
Bundesliga,2015,15/16,9
Bundesliga,2016,16/17,9
Bundesliga,2017,17/18,6
Bundesliga,2018,18/19,7
La Liga,1992,92/93,0
La Liga,1993,93/94,5
La Liga,1994,94/95,3
La Liga,1995,95/96,3
La Liga,1996,96/97,3
La Liga,1997,97/98,7
La Liga,1998,98/99,5
La Liga,1999,99/00,15
La Liga,2000,00/01,13
La Liga,2001,01/02,14
La Liga,2002,02/03,12
La Liga,2003,03/04,11
La Liga,2004,04/05,6
La Liga,2005,05/06,13
La Liga,2006,06/07,7
La Liga,2007,07/08,9
La Liga,2008,08/09,13
La Liga,2009,09/10,9
La Liga,2010,10/11,12
La Liga,2011,11/12,10
La Liga,2012,12/13,13
La Liga,2013,13/14,15
La Liga,2014,14/15,14
La Liga,2015,15/16,16
La Liga,2016,16/17,15
La Liga,2017,17/18,13
La Liga,2018,18/19,9
Premier League,1992,92/93,0
Premier League,1993,93/94,0
Premier League,1994,94/95,1
Premier League,1995,95/96,1
Premier League,1996,96/97,4
Premier League,1997,97/98,4
Premier League,1998,98/99,7
Premier League,1999,99/00,7
Premier League,2000,00/01,10
Premier League,2001,01/02,9
Premier League,2002,02/03,8
Premier League,2003,03/04,9
Premier League,2004,04/05,14
Premier League,2005,05/06,10
Premier League,2006,06/07,15
Premier League,2007,07/08,18
Premier League,2008,08/09,16
Premier League,2009,09/10,9
Premier League,2010,10/11,13
Premier League,2011,11/12,10
Premier League,2012,12/13,6
Premier League,2013,13/14,11
Premier League,2014,14/15,7
Premier League,2015,15/16,9
Premier League,2016,16/17,8
Premier League,2017,17/18,14
Premier League,2018,18/19,17
